100001;10.12.64.182;10.12.64.183;10.12.64.184;10.12.64.2;255.255.252.0;10.12.64.1;EZESPMARTGT001;
100002;10.12.64.185;10.12.64.186;10.12.64.187;10.12.64.3;255.255.252.0;10.12.64.1;EZESPMARTGT002;
100003;10.12.64.188;10.12.64.189;10.12.64.190;10.12.64.4;255.255.252.0;10.12.64.1;EZESPMARTGT003;
100004;10.12.64.191;10.12.64.192;10.12.64.193;10.12.64.5;255.255.252.0;10.12.64.1;EZESPMARTGT004;
100005;10.12.64.194;10.12.64.195;10.12.64.196;10.12.64.6;255.255.252.0;10.12.64.1;EZESPMARTGT005;
100006;10.12.64.197;10.12.64.198;10.12.64.199;10.12.64.7;255.255.252.0;10.12.64.1;EZESPMARTGT006;
100007;10.12.64.200;10.12.64.201;10.12.64.202;10.12.64.8;255.255.252.0;10.12.64.1;EZESPMARTGT007;
100008;10.12.64.203;10.12.64.204;10.12.64.205;10.12.64.9;255.255.252.0;10.12.64.1;EZESPMARTGT008;
100009;10.12.64.206;10.12.64.207;10.12.64.208;10.12.64.10;255.255.252.0;10.12.64.1;EZESPMARTGT009;
100010;10.12.64.209;10.12.64.210;10.12.64.211;10.12.64.11;255.255.252.0;10.12.64.1;EZESPMARTGT010;
100011;10.12.64.212;10.12.64.213;10.12.64.214;10.12.64.12;255.255.252.0;10.12.64.1;EZESPMARTGT011;
100012;10.12.64.215;10.12.64.216;10.12.64.217;10.12.64.13;255.255.252.0;10.12.64.1;EZESPMARTGT012;
100013;10.12.64.218;10.12.64.219;10.12.64.220;10.12.64.14;255.255.252.0;10.12.64.1;EZESPMARTGT013;
100014;10.12.64.221;10.12.64.222;10.12.64.223;10.12.64.15;255.255.252.0;10.12.64.1;EZESPMARTGT014;
100015;10.12.64.224;10.12.64.225;10.12.64.226;10.12.64.16;255.255.252.0;10.12.64.1;EZESPMARTGT015;
100016;10.12.64.227;10.12.64.228;10.12.64.229;10.12.64.17;255.255.252.0;10.12.64.1;EZESPMARTGT016;
100017;10.12.64.230;10.12.64.231;10.12.64.232;10.12.64.18;255.255.252.0;10.12.64.1;EZESPMARTGT017;
100018;10.12.64.233;10.12.64.234;10.12.64.235;10.12.64.19;255.255.252.0;10.12.64.1;EZESPMARTGT018;
200001;10.12.64.236;10.12.64.237;10.12.64.238;10.12.64.20;255.255.252.0;10.12.64.1;EZESPMARTGT019;
200002;10.12.64.239;10.12.64.240;10.12.64.241;10.12.64.21;255.255.252.0;10.12.64.1;EZESPMARTGT020;
200003;10.12.64.242;10.12.64.243;10.12.64.244;10.12.64.22;255.255.252.0;10.12.64.1;EZESPMARTGT021;
200004;10.12.64.245;10.12.64.246;10.12.64.247;10.12.64.23;255.255.252.0;10.12.64.1;EZESPMARTGT022;
200005;10.12.64.248;10.12.64.249;10.12.64.250;10.12.64.24;255.255.252.0;10.12.64.1;EZESPMARTGT023;
200006;10.12.64.251;10.12.64.252;10.12.64.253;10.12.64.25;255.255.252.0;10.12.64.1;EZESPMARTGT024;
200007;10.12.64.254;10.12.64.255;10.12.65.1;10.12.64.26;255.255.252.0;10.12.64.1;EZESPMARTGT025;
200008;10.12.65.2;10.12.65.3;10.12.65.4;10.12.64.27;255.255.252.0;10.12.64.1;EZESPMARTGT026;
200009;10.12.65.5;10.12.65.6;10.12.65.7;10.12.64.28;255.255.252.0;10.12.64.1;EZESPMARTGT027;
200010;10.12.65.8;10.12.65.9;10.12.65.10;10.12.64.29;255.255.252.0;10.12.64.1;EZESPMARTGT028;
200011;10.12.65.11;10.12.65.12;10.12.65.13;10.12.64.30;255.255.252.0;10.12.64.1;EZESPMARTGT029;
200012;10.12.65.14;10.12.65.15;10.12.65.16;10.12.64.31;255.255.252.0;10.12.64.1;EZESPMARTGT030;
200013;10.12.65.17;10.12.65.18;10.12.65.19;10.12.64.32;255.255.252.0;10.12.64.1;EZESPMARTGT031;
200014;10.12.65.20;10.12.65.21;10.12.65.22;10.12.64.33;255.255.252.0;10.12.64.1;EZESPMARTGT032;
200015;10.12.65.23;10.12.65.24;10.12.65.25;10.12.64.34;255.255.252.0;10.12.64.1;EZESPMARTGT033;
200016;10.12.65.26;10.12.65.27;10.12.65.28;10.12.64.35;255.255.252.0;10.12.64.1;EZESPMARTGT034;
200017;10.12.65.29;10.12.65.30;10.12.65.31;10.12.64.36;255.255.252.0;10.12.64.1;EZESPMARTGT035;
200018;10.12.65.32;10.12.65.33;10.12.65.34;10.12.64.37;255.255.252.0;10.12.64.1;EZESPMARTGT036;
300001;10.12.65.35;10.12.65.36;10.12.65.37;10.12.64.38;255.255.252.0;10.12.64.1;EZESPMARTGT037;
300002;10.12.65.38;10.12.65.39;10.12.65.40;10.12.64.39;255.255.252.0;10.12.64.1;EZESPMARTGT038;
300003;10.12.65.41;10.12.65.42;10.12.65.43;10.12.64.40;255.255.252.0;10.12.64.1;EZESPMARTGT039;
300004;10.12.65.44;10.12.65.45;10.12.65.46;10.12.64.41;255.255.252.0;10.12.64.1;EZESPMARTGT040;
